(2, 'mizu', 'みず', 'water #1', 'water #1', 'noun', 'Example sentence 1 in English.', 'Example sentence 1 in English.'),
(2, 'nomu2', 'のむ', 'to drink #2', 'to drink #2', 'verb', 'Example sentence 2 in English.', 'Example sentence 2 in English.'),
(2, 'taberu3', 'たべる', 'to eat #3', 'to eat #3', 'verb', 'Example sentence 3 in English.', 'Example sentence 3 in English.'),
(2, 'iku4', 'いく', 'to go #4', 'to go #4', 'verb', 'Example sentence 4 in English.', 'Example sentence 4 in English.'),
(2, 'kuru5', 'くる', 'to come #5', 'to come #5', 'verb', 'Example sentence 5 in English.', 'Example sentence 5 in English.'),
(2, 'miru6', 'みる', 'to see #6', 'to see #6', 'verb', 'Example sentence 6 in English.', 'Example sentence 6 in English.'),
(2, 'tabe7', 'たべ', 'eat #7', 'eat #7', 'noun', 'Example sentence 7 in English.', 'Example sentence 7 in English.'),
(2, 'yasai8', 'やさい', 'vegetable #8', 'vegetable #8', 'noun', 'Example sentence 8 in English.', 'Example sentence 8 in English.'),
(2, 'mango9', 'まんご', 'mango #9', 'mango #9', 'noun', 'Example sentence 9 in English.', 'Example sentence 9 in English.'),
(2, 'kasa10', 'かさ', 'umbrella #10', 'umbrella #10', 'noun', 'Example sentence 10 in English.', 'Example sentence 10 in English.'),
(2, 'mizu11', 'みず', 'water #11', 'water #11', 'noun', 'Example sentence 11 in English.', 'Example sentence 11 in English.'),
(2, 'nomu12', 'のむ', 'to drink #12', 'to drink #12', 'verb', 'Example sentence 12 in English.', 'Example sentence 12 in English.'),
(2, 'taberu13', 'たべる', 'to eat #13', 'to eat #13', 'verb', 'Example sentence 13 in English.', 'Example sentence 13 in English.'),
(2, 'iku14', 'いく', 'to go #14', 'to go #14', 'verb', 'Example sentence 14 in English.', 'Example sentence 14 in English.'),
(2, 'kuru15', 'くる', 'to come #15', 'to come #15', 'verb', 'Example sentence 15 in English.', 'Example sentence 15 in English.'),
(2, 'miru16', 'みる', 'to see #16', 'to see #16', 'verb', 'Example sentence 16 in English.', 'Example sentence 16 in English.'),
(2, 'tabe17', 'たべ', 'eat #17', 'eat #17', 'noun', 'Example sentence 17 in English.', 'Example sentence 17 in English.'),
(2, 'yasai18', 'やさい', 'vegetable #18', 'vegetable #18', 'noun', 'Example sentence 18 in English.', 'Example sentence 18 in English.'),
(2, 'mango19', 'まんご', 'mango #19', 'mango #19', 'noun', 'Example sentence 19 in English.', 'Example sentence 19 in English.'),
(2, 'kasa20', 'かさ', 'umbrella #20', 'umbrella #20', 'noun', 'Example sentence 20 in English.', 'Example sentence 20 in English.'),
(2, 'mizu21', 'みず', 'water #21', 'water #21', 'noun', 'Example sentence 21 in English.', 'Example sentence 21 in English.'),
(2, 'nomu22', 'のむ', 'to drink #22', 'to drink #22', 'verb', 'Example sentence 22 in English.', 'Example sentence 22 in English.'),
(2, 'taberu23', 'たべる', 'to eat #23', 'to eat #23', 'verb', 'Example sentence 23 in English.', 'Example sentence 23 in English.'),
(2, 'iku24', 'いく', 'to go #24', 'to go #24', 'verb', 'Example sentence 24 in English.', 'Example sentence 24 in English.'),
(2, 'kuru25', 'くる', 'to come #25', 'to come #25', 'verb', 'Example sentence 25 in English.', 'Example sentence 25 in English.'),
(2, 'miru26', 'みる', 'to see #26', 'to see #26', 'verb', 'Example sentence 26 in English.', 'Example sentence 26 in English.'),
(2, 'tabe27', 'たべ', 'eat #27', 'eat #27', 'noun', 'Example sentence 27 in English.', 'Example sentence 27 in English.'),
(2, 'yasai28', 'やさい', 'vegetable #28', 'vegetable #28', 'noun', 'Example sentence 28 in English.', 'Example sentence 28 in English.'),
(2, 'mango29', 'まんご', 'mango #29', 'mango #29', 'noun', 'Example sentence 29 in English.', 'Example sentence 29 in English.'),
(2, 'kasa30', 'かさ', 'umbrella #30', 'umbrella #30', 'noun', 'Example sentence 30 in English.', 'Example sentence 30 in English.'),
(2, 'mizu31', 'みず', 'water #31', 'water #31', 'noun', 'Example sentence 31 in English.', 'Example sentence 31 in English.'),
(2, 'nomu32', 'のむ', 'to drink #32', 'to drink #32', 'verb', 'Example sentence 32 in English.', 'Example sentence 32 in English.'),
(2, 'taberu33', 'たべる', 'to eat #33', 'to eat #33', 'verb', 'Example sentence 33 in English.', 'Example sentence 33 in English.'),
(2, 'iku34', 'いく', 'to go #34', 'to go #34', 'verb', 'Example sentence 34 in English.', 'Example sentence 34 in English.'),
(2, 'kuru35', 'くる', 'to come #35', 'to come #35', 'verb', 'Example sentence 35 in English.', 'Example sentence 35 in English.'),
(2, 'miru36', 'みる', 'to see #36', 'to see #36', 'verb', 'Example sentence 36 in English.', 'Example sentence 36 in English.'),
(2, 'tabe37', 'たべ', 'eat #37', 'eat #37', 'noun', 'Example sentence 37 in English.', 'Example sentence 37 in English.'),
(2, 'yasai38', 'やさい', 'vegetable #38', 'vegetable #38', 'noun', 'Example sentence 38 in English.', 'Example sentence 38 in English.'),
